"src_id","dst_id","weight","avg_time_gap"
"27171","4","1","35.0"
"29260","4","1","31.0"
"29507","4","1","66.0"
"29508","4","1","66.0"
"29562","4","1","47.0"
"29841","4","1","54.0"
"30179","4","1","40.0"
"37148","4","1","49.0"
"39908","4","1","10.0"
"41485","4","1","38.0"
"42043","4","1","51.0"
"44335","4","1","68.0"
"45603","4","1","36.0"
"47342","4","1","66.0"
"54954","4","1","18.0"
"55001","4","1","50.0"
"63869","4","1","10.0"
"68025","4","1","14.0"
"73923","4","1","41.0"
"74740","4","1","47.0"
"76342","4","1","66.0"
"77369","4","1","49.0"
"79198","4","1","30.0"
"79199","4","1","30.0"
"79200","4","1","30.0"
"80292","4","1","5.0"
"81115","4","1","52.0"
"81323","4","1","62.0"
"82753","4","1","51.0"
"84256","4","1","49.0"
"5","5","1","12.0"
"18","5","1","2.0"
"28","5","1","37.0"
"31","5","1","2.0"
"51","5","1","11.0"
"54","5","1","2.0"
"110","5","1","3.0"
"111","5","1","15.0"
"132","5","2","2.5"
"171","5","1","37.0"
"176","5","1","31.0"
"178","5","1","12.0"
"182","5","1","6.0"
"189","5","1","2.0"
"207","5","1","13.0"
"217","5","1","6.0"
"266","5","1","1.0"
"273","5","2","18.0"
"316","5","1","2.0"
"330","5","1","28.0"
"333","5","1","0.0"
"355","5","1","34.0"
"368","5","1","8.0"
"378","5","2","5.5"
"403","5","1","2.0"
"420","5","1","0.0"
"422","5","4","30.5"
"437","5","2","1.5"
"456","5","1","5.0"
"462","5","2","41.0"
"505","5","1","5.0"
"545","5","1","4.0"
"555","5","1","11.0"
"561","5","1","1.0"
"562","5","2","29.5"
"565","5","1","30.0"
"578","5","2","29.0"
"586","5","1","1.0"
"589","5","1","30.0"
"596","5","1","5.0"
"604","5","1","4.0"
"630","5","1","0.0"
"631","5","1","0.0"
"650","5","1","0.0"
"691","5","1","36.0"
"707","5","1","0.0"
"714","5","1","0.0"
"761","5","1","6.0"
"828","5","1","25.0"
"854","5","1","7.0"
"859","5","1","2.0"
"879","5","1","47.0"
"916","5","1","0.0"
"964","5","1","35.0"
"973","5","1","2.0"
"975","5","1","8.0"
"1126","5","1","2.0"
"1145","5","1","27.0"
"1152","5","2","14.0"
"1155","5","2","25.5"
"1182","5","1","36.0"
"1188","5","1","0.0"
"1220","5","1","4.0"
"1230","5","2","2.5"
"1239","5","1","30.0"
"1260","5","1","2.0"
"1315","5","1","22.0"
"1361","5","1","1.0"
"1393","5","1","33.0"
"1440","5","1","31.0"
"1441","5","1","1.0"
"1541","5","2","19.0"
"1547","5","1","41.0"
"1571","5","1","0.0"
"1572","5","1","1.0"
"1582","5","1","0.0"
"1584","5","2","24.5"
"1604","5","1","43.0"
"1645","5","1","35.0"
"1738","5","3","33.333333333333336"
"1748","5","1","36.0"
"1786","5","2","25.0"
"1804","5","1","25.0"
"1836","5","1","4.0"
"1841","5","2","0.5"
"1861","5","1","3.0"
"1867","5","1","2.0"
"1874","5","2","1.0"
"1877","5","4","0.5"
"1899","5","1","7.0"
"1902","5","1","46.0"
"1952","5","1","1.0"
"2000","5","1","46.0"
"2039","5","2","26.0"
"2051","5","1","7.0"
"2152","5","1","3.0"
"2190","5","1","9.0"
"2381","5","2","44.5"
"2436","5","1","2.0"
"3409","5","1","2.0"
"3710","5","1","1.0"
"3826","5","2","20.5"
"4089","5","1","0.0"
"4125","5","1","0.0"
"4192","5","1","0.0"
"4315","5","1","31.0"
"4446","5","3","37.333333333333336"
"4484","5","2","17.5"
"4548","5","1","35.0"
"4971","5","1","28.0"
"5053","5","1","1.0"
"5074","5","1","0.0"
"5098","5","1","2.0"
"5366","5","4","1.25"
"5447","5","1","4.0"
"5448","5","1","19.0"
"5515","5","3","40.666666666666664"
"5664","5","1","1.0"
"5684","5","1","1.0"
"5904","5","1","32.0"
"6079","5","1","3.0"
"6208","5","1","0.0"
"6415","5","1","25.0"
"6515","5","1","39.0"
"6544","5","1","26.0"
"6567","5","1","32.0"
"6585","5","1","40.0"
"6616","5","1","1.0"
"6631","5","1","18.0"
"6932","5","1","44.0"
"6960","5","1","31.0"
"7045","5","1","31.0"
"7065","5","1","0.0"
"7135","5","1","27.0"
